"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value"
"2008Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 957 847.4"
"2009Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 881 980.0"
"2009Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 873 566.0"
"2009Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 881 992.3"
"2009Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 894 378.8"
"2010Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 910 284.6"
"2010Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 940 481.2"
"2010Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 952 368.9"
"2010Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 965 935.0"
"2011Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 990 476.2"
"2011Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 992 602.6"
"2011Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 995 594.4"
"2011Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 987 304.6"
"2012Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 984 984.4"
"2012Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 978 456.2"
"2012Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 979 412.2"
"2012Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 966 238.2"
"2013Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 962 369.7"
"2013Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 972 868.5"
"2013Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 981 373.1"
"2013Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 991 355.9"
"2014Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 001 808.3"
"2014Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 008 706.6"
"2014Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 016 331.9"
"1995Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 771 269.3"
"1995Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 781 245.1"
"1995Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 787 398.2"
"1995Q4","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 793 746.2"
"1996Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 794 260.2"
"1996Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 807 706.2"
"1996Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 818 139.2"
"1996Q4","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 823 732.0"
"1997Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 829 883.1"
"1997Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 851 886.4"
"1997Q3","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","1 865 078.0"
